umfrage_id,kategorie,bewertung,kommentar
1001,gesamt,4,""
1001,lieferzeit,5,""
1001,produktqualitaet,5,""
1001,digital_tools,3,""
1001,feedback,-1,"Tolle Produkte, aber die mobile Version der Website ist langsam."
1002,gesamt,2,""
1002,lieferzeit,2,"Lieferung kam 3 Tage zu spät"
1002,produktqualitaet,4,""
1002,digital_tools,1,"App stürzt ständig ab"
1002,feedback,-1,"Kundenservice war unfreundlich."
1003,gesamt,5,""
1003,lieferzeit,5,""
1003,produktqualitaet,5,""
1003,digital_tools,5,""
1003,feedback,-1,"Alles perfekt – weiter so!"
